contract,comd,status,batch_count,tick_count,bars_match,bar_diff,times_match,volume_match,turnover_match,open_interest_match
sn1507,sn,ok,7140,7140,True,0,True,True,True,True
SF2305,SF,ok,11664,11664,True,0,True,True,True,True
IF2410,IF,ok,1900,1900,True,0,True,True,True,True
IF2405,IF,ok,2000,2000,True,0,True,True,True,True
TF2109,TF,ok,9724,9724,True,0,True,True,True,True
v1003,v,ok,2109,2109,True,0,True,True,True,True
sn2308,sn,ok,23227,23227,True,0,True,True,True,True
nr2306,nr,ok,17689,17689,True,0,True,True,True,True
RI1909,RI,ok,8860,8860,True,0,True,True,True,True
sn2401,sn,ok,23179,23179,True,0,True,True,True,True
pb2601,pb,ok,17215,17215,True,0,True,True,True,True
l1404,l,ok,11314,11314,True,0,True,True,True,True
CY1809,CY,ok,16779,16779,True,0,True,True,True,True
UR2011,UR,ok,11441,11441,True,0,True,True,True,True
IH1911,IH,ok,1750,1750,True,0,True,True,True,True
y2008,y,ok,15463,15463,True,0,True,True,True,True
cs1901,cs,ok,11580,11580,True,0,True,True,True,True
AP2404,AP,ok,11555,11555,True,0,True,True,True,True
ag1604,ag,ok,26178,26178,True,0,True,True,True,True
WH2007,WH,ok,7972,7972,True,0,True,True,True,True
c1711,c,ok,11380,11380,True,0,True,True,True,True
IH1901,IH,ok,2150,2150,True,0,True,True,True,True
IM2407,IM,ok,2200,2200,True,0,True,True,True,True
MA1901,MA,ok,17539,17539,True,0,True,True,True,True
cs1803,cs,ok,11276,11276,True,0,True,True,True,True
SF2511,SF,ok,10656,10656,True,0,True,True,True,True
rb1202,rb,ok,11462,11462,True,0,True,True,True,True
RI1905,RI,ok,5735,5735,True,0,True,True,True,True
SF1710,SF,ok,7168,7168,True,0,True,True,True,True
IF1901,IF,ok,2150,2150,True,0,True,True,True,True
y1407,y,ok,11493,11493,True,0,True,True,True,True
sn1702,sn,ok,4924,4924,True,0,True,True,True,True
IC1510,IC,ok,1650,1650,True,0,True,True,True,True
SF1810,SF,ok,8425,8425,True,0,True,True,True,True
IC2301,IC,ok,2200,2200,True,0,True,True,True,True
y2605,y,ok,7396,7396,True,0,True,True,True,True
sc2703,sc,ok,44688,44688,True,0,True,True,True,True
cu2102,cu,ok,20633,20633,True,0,True,True,True,True
IF1306,IF,ok,7950,7950,True,0,True,True,True,True
WH1603,WH,ok,11256,11256,True,0,True,True,True,True
ni1907,ni,ok,23131,23131,True,0,True,True,True,True
j2503,j,ok,16906,16906,True,0,True,True,True,True
rb1303,rb,ok,11577,11577,True,0,True,True,True,True
i1808,i,ok,17018,17018,True,0,True,True,True,True
sn2604,sn,ok,11784,11784,True,0,True,True,True,True
TS2412,TS,ok,9883,9883,True,0,True,True,True,True
al1407,al,ok,18168,18168,True,0,True,True,True,True
WT1211,WT,ok,5308,5308,True,0,True,True,True,True
wr1110,wr,ok,11008,11008,True,0,True,True,True,True
MA2603,MA,ok,10412,10412,True,0,True,True,True,True
ru1705,ru,ok,17490,17490,True,0,True,True,True,True
p2111,p,ok,17270,17270,True,0,True,True,True,True
MA2402,MA,ok,17908,17908,True,0,True,True,True,True
RO1205,RO,ok,339,339,True,0,True,True,True,True
si2410,si,ok,7612,7612,True,0,True,True,True,True
pp1408,pp,ok,5056,5056,True,0,True,True,True,True
jd2305,jd,ok,11641,11641,True,0,True,True,True,True
j1312,j,ok,10761,10761,True,0,True,True,True,True
bb2208,bb,ok,308,308,True,0,True,True,True,True
pb2007,pb,ok,20227,20227,True,0,True,True,True,True
v1108,v,ok,3779,3779,True,0,True,True,True,True
bu2310,bu,ok,17496,17496,True,0,True,True,True,True
l1912,l,ok,15840,15840,True,0,True,True,True,True
T1612,T,ok,9593,9593,True,0,True,True,True,True
v1812,v,ok,11028,11028,True,0,True,True,True,True
y1311,y,ok,10150,10150,True,0,True,True,True,True
jd1606,jd,ok,11313,11313,True,0,True,True,True,True
PM1307,PM,ok,7587,7587,True,0,True,True,True,True
p2204,p,ok,17564,17564,True,0,True,True,True,True
c1005,c,ok,3827,3827,True,0,True,True,True,True
al1009,al,ok,8304,8304,True,0,True,True,True,True
TA1610,TA,ok,17709,17709,True,0,True,True,True,True
IM2501,IM,ok,2200,2200,True,0,True,True,True,True
sn1510,sn,ok,12630,12630,True,0,True,True,True,True
IF1404,IF,ok,1950,1950,True,0,True,True,True,True
MA2201,MA,ok,17564,17564,True,0,True,True,True,True
IC2403,IC,ok,7850,7850,True,0,True,True,True,True
ni1711,ni,ok,22286,22286,True,0,True,True,True,True
zn1608,zn,ok,23069,23069,True,0,True,True,True,True
m1011,m,ok,9330,9330,True,0,True,True,True,True
FG1303,FG,ok,1325,1325,True,0,True,True,True,True
pp1902,pp,ok,11180,11180,True,0,True,True,True,True
OI1907,OI,ok,16950,16950,True,0,True,True,True,True
CF2111,CF,ok,17417,17417,True,0,True,True,True,True
fu1712,fu,ok,9203,9203,True,0,True,True,True,True
CY2606,CY,ok,6033,6033,True,0,True,True,True,True
fu1105,fu,ok,11430,11430,True,0,True,True,True,True
hc2506,hc,ok,17364,17364,True,0,True,True,True,True
jm2312,jm,ok,17475,17475,True,0,True,True,True,True
pb2302,pb,ok,23227,23227,True,0,True,True,True,True
LR2001,LR,ok,7837,7837,True,0,True,True,True,True
pp1601,pp,ok,11711,11711,True,0,True,True,True,True
AP2410,AP,ok,11568,11568,True,0,True,True,True,True
T2309,T,ok,9671,9671,True,0,True,True,True,True
T2203,T,ok,9565,9565,True,0,True,True,True,True
IC1609,IC,ok,8249,8249,True,0,True,True,True,True
T2603,T,ok,4452,4452,True,0,True,True,True,True
cu1906,cu,ok,23082,23082,True,0,True,True,True,True
ZC2410,ZC,ok,10345,10345,True,0,True,True,True,True
FG2506,FG,ok,17418,17418,True,0,True,True,True,True
fu2604,fu,ok,9609,9609,True,0,True,True,True,True
l1412,l,ok,10747,10747,True,0,True,True,True,True
p1508,p,ok,16421,16421,True,0,True,True,True,True
SH2505,SH,ok,17300,17300,True,0,True,True,True,True
bu1710,bu,ok,8792,8792,True,0,True,True,True,True
