comd,auction_time,opening_time,closing_time
pb_o,,10:30:00,11:30:00
pb_o,,13:30:00,15:00:00
pg,20:55:00,21:00:00,23:00:00
pg,,09:00:00,10:15:00
pg,,10:30:00,11:30:00
pg,,13:30:00,15:00:00
pg_o,20:55:00,21:00:00,23:00:00
pg_o,,09:00:00,10:15:00
pg_o,,10:30:00,11:30:00
pg_o,,13:30:00,15:00:00
pp,20:55:00,21:00:00,23:00:00
pp,,09:00:00,10:15:00
pp,,10:30:00,11:30:00
pp,,13:30:00,15:00:00
pp_o,20:55:00,21:00:00,23:00:00
pp_o,,09:00:00,10:15:00
pp_o,,10:30:00,11:30:00
pp_o,,13:30:00,15:00:00
ps,08:55:00,09:00:00,10:15:00
ps,,10:30:00,11:30:00
ps,,13:30:00,15:00:00
ps_o,08:55:00,09:00:00,10:15:00
ps_o,,10:30:00,11:30:00
ps_o,,13:30:00,15:00:00
rb,20:55:00,21:00:00,23:00:00
rb,,09:00:00,10:15:00
rb,,10:30:00,11:30:00
rb,,13:30:00,15:00:00
rb_o,20:55:00,21:00:00,23:00:00
rb_o,,09:00:00,10:15:00
rb_o,,10:30:00,11:30:00
rb_o,,13:30:00,15:00:00
rr,20:55:00,21:00:00,23:00:00
rr,,09:00:00,10:15:00
rr,,10:30:00,11:30:00
rr,,13:30:00,15:00:00
ru,20:55:00,21:00:00,23:00:00
ru,,09:00:00,10:15:00
ru,,10:30:00,11:30:00
ru,,13:30:00,15:00:00
ru_o,20:55:00,21:00:00,23:00:00
ru_o,,09:00:00,10:15:00
ru_o,,10:30:00,11:30:00
ru_o,,13:30:00,15:00:00
sc,20:55:00,21:00:00,02:30:00
sc,,09:00:00,10:15:00
sc,,10:30:00,11:30:00
sc,,13:30:00,15:00:00
sc_o,20:55:00,21:00:00,02:30:00
sc_o,,09:00:00,10:15:00
sc_o,,10:30:00,11:30:00
sc_o,,13:30:00,15:00:00
si,08:55:00,09:00:00,10:15:00
si,,10:30:00,11:30:00
si,,13:30:00,15:00:00
si_o,08:55:00,09:00:00,10:15:00
si_o,,10:30:00,11:30:00
si_o,,13:30:00,15:00:00
sn,20:55:00,21:00:00,01:00:00
sn,,09:00:00,10:15:00
sn,,10:30:00,11:30:00
sn,,13:30:00,15:00:00
sn_o,20:55:00,21:00:00,01:00:00
sn_o,,09:00:00,10:15:00
sn_o,,10:30:00,11:30:00
sn_o,,13:30:00,15:00:00
sp,20:55:00,21:00:00,23:00:00
sp,,09:00:00,10:15:00
sp,,10:30:00,11:30:00
sp,,13:30:00,15:00:00
sp_o,20:55:00,21:00:00,23:00:00
sp_o,,09:00:00,10:15:00
sp_o,,10:30:00,11:30:00
sp_o,,13:30:00,15:00:00
ss,20:55:00,21:00:00,01:00:00
ss,,09:00:00,10:15:00
ss,,10:30:00,11:30:00
ss,,13:30:00,15:00:00
v,20:55:00,21:00:00,23:00:00
v,,09:00:00,10:15:00
v,,10:30:00,11:30:00
v,,13:30:00,15:00:00
v_o,20:55:00,21:00:00,23:00:00
v_o,,09:00:00,10:15:00
v_o,,10:30:00,11:30:00
v_o,,13:30:00,15:00:00
wr,08:55:00,09:00:00,10:15:00
wr,,10:30:00,11:30:00
wr,,13:30:00,15:00:00
y,20:55:00,21:00:00,23:00:00
y,,09:00:00,10:15:00
y,,10:30:00,11:30:00
y,,13:30:00,15:00:00
y_o,20:55:00,21:00:00,23:00:00
y_o,,09:00:00,10:15:00
y_o,,10:30:00,11:30:00
y_o,,13:30:00,15:00:00
zn,20:55:00,21:00:00,01:00:00
zn,,09:00:00,10:15:00
zn,,10:30:00,11:30:00
zn,,13:30:00,15:00:00
zn_o,20:55:00,21:00:00,01:00:00
zn_o,,09:00:00,10:15:00
zn_o,,10:30:00,11:30:00
zn_o,,13:30:00,15:00:00
